model_name,representation,subset,domain_shift_gap,mlm_loss,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,eval_time_sec,evaluated_doc_count,cat_vessel_terminology_acc,cat_navigation_acc,cat_machinery_propulsion_acc,cat_casualty_incident_acc,cat_weather_environment_acc,cat_safety_lifesaving_acc
allenai/scibert_scivocab_uncased,template,balanced_knowledge,-0.060560933234053094,3.202065895345447,0.41350210970464135,0.6540084388185654,0.7215189873417721,0.0,0.04897874787575679,23.560786485671997,200.0,0.5149,0.311,0.0,1.0,0.1667,0.0
allenai/scibert_scivocab_uncased,template,high_knowledge,0.036009193836724296,3.6903242115443926,0.31693198263386396,0.5890014471780028,0.6570188133140377,0.02,0.0016275741528396503,29.077672719955444,200.0,0.3173,0.3411,0.0,0.5,0.0,0.0
allenai/scibert_scivocab_uncased,template,low_knowledge,-0.5114656031904288,0.8049512488061922,0.864406779661017,0.8898305084745762,0.9067796610169492,0.0,-0.19656225669281913,12.28175950050354,200.0,0.8644,0.0,0.0,0.0,0.0,0.0
allenai/scibert_scivocab_uncased,template,medium_knowledge,-0.15283249558483897,3.3814855137172204,0.5057736720554272,0.6143187066974596,0.6581986143187067,0.8,-0.007145414167910091,24.392306089401245,200.0,0.5095,0.3,0.8,0.5,0.4722,1.0
allenai/scibert_scivocab_uncased,template,random_baseline,-0.10480530240265118,3.4327012128541496,0.45774647887323944,0.5985915492957746,0.6408450704225352,0.15789473684210525,-0.041752348278962126,19.802274703979492,200.0,0.4449,0.459,1.0,0.6,0.4762,0.75
answerdotai/ModernBERT-base,json,balanced_knowledge,-0.2944090587402689,1.5538534454701516,0.7388535031847133,0.8184713375796179,0.8550955414012739,0.6176470588235294,0.03303759320969435,40.66852402687073,200.0,0.7407,1.0,0.8571,0.75,0.7059,0.0
answerdotai/ModernBERT-base,json,high_knowledge,-0.18118369625907316,2.1148379573592306,0.6256281407035176,0.7525125628140703,0.800251256281407,0.6140350877192983,0.10818319696173007,40.053875207901,200.0,0.6237,0.0,0.0,0.8519,0.587,0.0
answerdotai/ModernBERT-base,json,low_knowledge,-0.548954895489549,0.02915536146394654,0.9933993399339934,1.0,1.0,0.0,-0.16228231865739773,31.27607250213623,200.0,0.9934,0.0,0.0,0.0,0.0,0.0
answerdotai/ModernBERT-base,json,medium_knowledge,-0.31691919191919193,1.3753054725281655,0.7613636363636364,0.8344155844155844,0.8685064935064936,1.0,0.011567012405938604,33.417235374450684,200.0,0.7344,0.6,0.9412,0.8684,0.8793,1.0
answerdotai/ModernBERT-base,json,random_baseline,-0.2623618382780687,1.7109968431148803,0.7068062827225131,0.7766143106457243,0.8167539267015707,0.8,0.0467370243641011,38.20327138900757,200.0,0.6942,0.0,0.9333,0.9286,0.6604,1.0
answerdotai/ModernBERT-base,key_value,balanced_knowledge,-0.24969872258375514,1.6437568178674187,0.6941431670281996,0.8145336225596529,0.8633405639913232,0.75,-0.019364405966252662,39.12941932678223,200.0,0.7121,0.5989,1.0,0.875,0.7018,1.0
answerdotai/ModernBERT-base,key_value,high_knowledge,-0.1826984126984127,1.9799542491757685,0.6271428571428571,0.7821428571428571,0.8471428571428572,0.7432432432432432,-0.0008001461454146819,112.26751756668091,200.0,0.6262,0.6092,1.0,0.9091,0.6078,0.0
answerdotai/ModernBERT-base,key_value,low_knowledge,-0.549124687388353,0.024670774957078746,0.9935691318327974,1.0,1.0,0.0,-0.1643114899114,21.8047137260437,200.0,0.9936,0.0,0.0,0.0,0.0,0.0
answerdotai/ModernBERT-base,key_value,medium_knowledge,-0.3116161616161617,1.4094562291030943,0.7560606060606061,0.8333333333333334,0.8621212121212121,0.5555555555555556,-0.0885521885521886,65.89593172073364,200.0,0.7375,1.0,0.9091,0.9118,0.8261,0.3333
answerdotai/ModernBERT-base,key_value,random_baseline,-0.22994422994422992,1.821587235437501,0.6743886743886743,0.7824967824967825,0.8314028314028314,0.7368421052631579,-0.009924650893813891,36.41469693183899,200.0,0.6844,0.5321,0.7778,0.9091,0.6727,1.0
answerdotai/ModernBERT-base,mixed,balanced_knowledge,-0.3794361525704809,0.9436551176414867,0.8238805970149253,0.9022388059701493,0.932089552238806,0.7222222222222222,-0.031689994764759866,112.38985681533813,200.0,0.8463,0.6439,1.0,0.9706,0.914,1.0
answerdotai/ModernBERT-base,mixed,high_knowledge,-0.36771838046972916,0.9921795565454661,0.8121628249141736,0.8916135360470819,0.9264345267287887,0.8333333333333334,-0.03912831762139524,54.19844675064087,200.0,0.832,0.6908,0.6,0.9318,0.9231,0.0
answerdotai/ModernBERT-base,mixed,low_knowledge,-0.4937578027465668,0.22939762110585415,0.9382022471910112,0.9906367041198502,0.9962546816479401,0.0,-0.07721437378077756,52.08434534072876,200.0,0.9382,0.0,0.0,0.0,0.0,0.0
answerdotai/ModernBERT-base,mixed,medium_knowledge,-0.491919191919192,0.33757506368018486,0.9363636363636364,0.9709090909090909,0.9836363636363636,1.0,-0.11180223285486446,74.3252170085907,200.0,0.9248,1.0,1.0,1.0,1.0,1.0
answerdotai/ModernBERT-base,mixed,random_baseline,-0.43285616905248814,0.6323693101163623,0.8773006134969326,0.9363496932515337,0.9578220858895705,1.0,-0.06260106836885015,112.99228143692017,200.0,0.8957,0.7197,1.0,0.9024,0.9101,1.0
answerdotai/ModernBERT-base,narrative,balanced_knowledge,-0.06263770853005979,2.4853600810540164,0.5070821529745042,0.7039660056657224,0.7903682719546742,0.8333333333333334,-0.030721121455879574,26.383338689804077,200.0,0.4891,0.6066,0.0,0.8235,0.1778,0.0
answerdotai/ModernBERT-base,narrative,high_knowledge,-0.07439117199391176,2.5179362010306754,0.5188356164383562,0.7106164383561644,0.7876712328767124,0.7055555555555556,-0.02956906903227391,26.702683687210083,200.0,0.5064,0.5893,0.75,0.8261,0.0702,0.5
answerdotai/ModernBERT-base,narrative,low_knowledge,0.046386192017259964,3.1893616610205817,0.39805825242718446,0.5436893203883495,0.6601941747572816,0.0,-0.052402060190585575,6.9017815589904785,200.0,0.3981,0.0,0.0,0.0,0.0,0.0
answerdotai/ModernBERT-base,narrative,medium_knowledge,0.1111111111111111,3.6079609919728797,0.3333333333333333,0.5467625899280576,0.6306954436450839,0.0,0.1413160733549083,17.54882574081421,200.0,0.36,0.4,0.4,0.375,0.0769,0.0
answerdotai/ModernBERT-base,narrative,random_baseline,0.012750455373406189,3.0039578669353473,0.43169398907103823,0.6065573770491803,0.6794171220400729,0.64,0.02329782762290611,23.54074001312256,200.0,0.4239,0.5526,0.4286,0.7059,0.0526,0.2
answerdotai/ModernBERT-base,template,balanced_knowledge,-0.19293873312564902,2.025090526969045,0.6373831775700934,0.788785046728972,0.8373831775700935,0.8125,-0.09427387682331811,22.65462017059326,200.0,0.6634,0.6094,0.0,1.0,0.5,0.0
answerdotai/ModernBERT-base,template,high_knowledge,-0.07108350586611456,2.7756852765046376,0.515527950310559,0.7049689440993789,0.7779503105590062,0.810126582278481,-0.13040760020114978,22.362712860107422,200.0,0.4256,0.6144,0.0,1.0,0.2812,0.0
answerdotai/ModernBERT-base,template,low_knowledge,-0.4466446644664467,0.5775940893165111,0.8910891089108911,0.9108910891089109,0.9306930693069307,0.0,-0.14685573034915433,14.601060628890991,200.0,0.8911,0.0,0.0,0.0,0.0,0.0
answerdotai/ModernBERT-base,template,medium_knowledge,-0.24251207729468605,1.8523237210139205,0.6869565217391305,0.7673913043478261,0.8130434782608695,1.0,-0.09062045098739324,21.862237691879272,200.0,0.6768,0.5,1.0,1.0,0.5882,1.0
answerdotai/ModernBERT-base,template,random_baseline,-0.16315049226441636,2.3244551385970103,0.6075949367088608,0.7341772151898734,0.7742616033755274,0.6666666666666666,-0.07533687219273177,20.244036197662354,200.0,0.6,0.5966,0.7692,0.6667,0.5926,0.7778
bert-base-uncased,json,balanced_knowledge,-0.08389974511469839,3.4794718421052298,0.4929906542056075,0.602803738317757,0.6495327102803738,0.6206896551724138,0.11006642723695281,54.490912437438965,200.0,0.4791,0.0,1.0,0.7778,0.4468,1.0
bert-base-uncased,json,high_knowledge,0.03237858032378582,4.2498763144702,0.3767123287671233,0.5095890410958904,0.5589041095890411,0.640625,0.19070222354992433,54.4671356678009,200.0,0.3344,0.0,0.3333,0.8235,0.4891,0.0
bert-base-uncased,json,low_knowledge,-0.47326203208556145,0.7153515607827465,0.8823529411764706,0.934640522875817,0.9411764705882353,0.0,-0.2238366866613275,37.06423759460449,200.0,0.8824,0.0,0.0,0.0,0.0,0.0
bert-base-uncased,json,medium_knowledge,-0.03786168684588548,3.954790346671657,0.4469525959367946,0.5417607223476298,0.582392776523702,0.75,0.16511866170744893,45.329588413238525,200.0,0.4063,1.0,0.625,0.7143,0.6667,0.0
bert-base-uncased,json,random_baseline,-0.10695847362514027,3.3801963061588736,0.5160493827160494,0.5975308641975309,0.6469135802469136,1.0,0.07112292575938961,50.461055755615234,200.0,0.4909,0.0,0.7143,0.9167,0.4889,1.0
bert-base-uncased,key_value,balanced_knowledge,-0.09923175416133162,3.1167567404678063,0.5083226632522407,0.6709346991037132,0.7157490396927016,0.6792452830188679,-0.0126912097176895,36.879438161849976,200.0,0.5196,0.4537,1.0,0.8,0.4727,1.0
bert-base-uncased,key_value,high_knowledge,-0.07626142661772112,3.162978514910411,0.48535233570863023,0.6539984164687253,0.714172604908947,0.7348837209302326,-0.013977735301771765,35.78095579147339,200.0,0.4637,0.5049,1.0,0.95,0.4659,0.0
bert-base-uncased,key_value,low_knowledge,-0.46077210460772106,0.9576710350441625,0.8698630136986302,0.9178082191780822,0.9315068493150684,0.0,-0.21156185539747185,17.12955665588379,200.0,0.8699,0.0,0.0,0.0,0.0,0.0
bert-base-uncased,key_value,medium_knowledge,-0.1097375427919361,3.425037212873523,0.5188284518828452,0.6150627615062761,0.6527196652719666,0.6666666666666666,-0.0484561393500712,25.027451276779175,200.0,0.5181,0.0,0.9091,0.4737,0.5385,0.3333
bert-base-uncased,key_value,random_baseline,-0.09564095210782902,3.2238326113692577,0.5047318611987381,0.6435331230283912,0.7018927444794952,0.967741935483871,-0.013931690039131805,38.171831130981445,200.0,0.5057,0.4083,0.9167,0.7333,0.5435,1.0
bert-base-uncased,mixed,balanced_knowledge,-0.3228928965771071,1.8097358538351909,0.7319838056680162,0.8307692307692308,0.854251012145749,0.8579545454545454,-0.04997209731250796,68.59542894363403,200.0,0.7509,0.6224,1.0,1.0,0.8111,1.0
bert-base-uncased,mixed,high_knowledge,-0.34032140872761457,1.7081821488747253,0.7494123178185237,0.8345086976962859,0.8551951104842501,0.828169014084507,-0.06190065084073759,71.101313829422,200.0,0.7632,0.6719,1.0,0.9273,0.8452,1.0
bert-base-uncased,mixed,low_knowledge,-0.38317962231005703,2.1473987742292504,0.7922705314009661,0.8309178743961353,0.8454106280193237,0.0,-0.08856682769726243,27.67783546447754,200.0,0.7923,0.0,0.0,0.0,0.0,0.0
bert-base-uncased,mixed,medium_knowledge,-0.40014359880702527,1.568106980581317,0.8092345078979344,0.850546780072904,0.8639125151883353,0.6363636363636364,-0.12839851781646072,51.3946967124939,200.0,0.7977,0.8,0.6923,0.9474,0.8657,1.0
bert-base-uncased,mixed,random_baseline,-0.3749022062275074,1.6446734254392417,0.7839931153184165,0.8407917383820999,0.8631669535283993,0.9344262295081968,-0.09709036096203649,68.8504204750061,200.0,0.7811,0.7773,0.7917,0.9714,0.7586,0.7
bert-base-uncased,narrative,balanced_knowledge,-0.007152745731425936,3.6266956222686937,0.41624365482233505,0.6040609137055838,0.6582064297800339,0.7314814814814815,0.013475220679672995,24.695952892303467,200.0,0.4131,0.4684,0.0,0.8,0.0,0.0
bert-base-uncased,narrative,high_knowledge,-0.024785902503293766,3.399123088598585,0.4338768115942029,0.6403985507246377,0.6965579710144928,0.7443946188340808,-0.0009988087680135038,27.20106840133667,200.0,0.4121,0.4878,0.5,0.9355,0.0351,1.0
bert-base-uncased,narrative,low_knowledge,0.29144385026737973,7.124952853894701,0.11764705882352941,0.23529411764705882,0.3333333333333333,0.0,0.1716930426993132,7.5580079555511475,200.0,0.1176,0.0,0.0,0.0,0.0,0.0
bert-base-uncased,narrative,medium_knowledge,0.11551292743953295,4.976661874967638,0.29357798165137616,0.40672782874617736,0.4617737003058104,0.0,0.12318848541449212,18.782052278518677,200.0,0.3143,0.25,0.0,0.5,0.0,0.5
bert-base-uncased,narrative,random_baseline,0.09474906233255942,4.1950850405601425,0.3143418467583497,0.5304518664047151,0.6149312377210217,0.8571428571428571,0.05205672339357165,22.599628925323486,200.0,0.2971,0.3853,0.75,0.6471,0.0571,0.25
bert-base-uncased,template,balanced_knowledge,-0.07358807474280915,3.1012049842783624,0.48267898383371827,0.6697459584295612,0.7321016166281755,0.6493506493506493,-0.06286052695020844,30.002586841583252,200.0,0.5263,0.4646,1.0,1.0,0.0952,1.0
bert-base-uncased,template,high_knowledge,-0.03136820138254853,3.380316810255713,0.44045911047345765,0.6384505021520803,0.7015781922525107,0.7647058823529411,-0.09435787928330719,26.67383623123169,200.0,0.3877,0.4974,0.0,1.0,0.0714,1.0
bert-base-uncased,template,low_knowledge,-0.28815679733110927,2.2249720517909886,0.6972477064220184,0.7522935779816514,0.7798165137614679,0.0,-0.11726641549591921,15.159175872802734,200.0,0.6972,0.0,0.0,0.0,0.0,0.0
bert-base-uncased,template,medium_knowledge,-0.12199717381064529,3.06088400050671,0.5310880829015544,0.6787564766839378,0.7072538860103627,0.3333333333333333,-0.04923480104827255,25.48408842086792,200.0,0.5058,0.0,1.0,0.7059,0.7619,0.0
bert-base-uncased,template,random_baseline,0.0014959723820483495,3.96348107937819,0.40759493670886077,0.549367088607595,0.6227848101265823,0.48148148148148145,0.033581533879374514,26.283242225646973,200.0,0.3984,0.3786,1.0,0.8571,0.375,1.0
dmis-lab/biobert-base-cased-v1.2,json,balanced_knowledge,-0.06282051282051276,3.4683607254120163,0.5128205128205128,0.5443786982248521,0.6015779092702169,0.34375,0.08930763892595961,27.046773433685303,200.0,0.492,1.0,1.0,0.7222,0.5714,1.0
dmis-lab/biobert-base-cased-v1.2,json,high_knowledge,0.08414634146341465,4.308278903844146,0.36585365853658536,0.43360433604336046,0.5067750677506775,0.1896551724137931,0.1762680263308093,30.110368251800537,200.0,0.3403,1.0,0.0,0.4286,0.5341,0.0
dmis-lab/biobert-base-cased-v1.2,json,low_knowledge,-0.55,0.028661192162420034,1.0,1.0,1.0,0.0,-0.3266237251744498,26.166422843933105,200.0,1.0,0.0,0.0,0.0,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,json,medium_knowledge,-0.13163265306122446,2.866460121965451,0.5816326530612245,0.6346938775510204,0.6714285714285714,1.0,0.0034843205574912606,23.726080894470215,200.0,0.5603,1.0,1.0,0.7143,0.6486,1.0
dmis-lab/biobert-base-cased-v1.2,json,random_baseline,-0.019348659003831425,3.812031248328853,0.46934865900383144,0.5191570881226054,0.5651340996168582,0.42857142857142855,0.10140605797730068,25.409430980682373,200.0,0.4519,0.0,0.8182,0.6667,0.4706,1.0
dmis-lab/biobert-base-cased-v1.2,key_value,balanced_knowledge,0.020228091236494605,3.331875463901063,0.4297719087635054,0.5522208883553421,0.6398559423769508,0.3577981651376147,0.08255786672416482,24.010767698287964,200.0,0.4775,0.2466,1.0,0.5714,0.5957,1.0
dmis-lab/biobert-base-cased-v1.2,key_value,high_knowledge,0.08385533184190902,3.8381930214371702,0.366144668158091,0.48396718866517524,0.5749440715883669,0.4375,0.11489484390767407,54.06201362609863,200.0,0.3855,0.267,0.0,0.7742,0.5974,0.0
dmis-lab/biobert-base-cased-v1.2,key_value,low_knowledge,-0.531012658227848,0.10652612632927512,0.9810126582278481,0.9936708860759493,1.0,0.0,-0.30722855383876146,13.433369636535645,200.0,0.981,0.0,0.0,0.0,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,key_value,medium_knowledge,-0.1642857142857143,2.5485958250373706,0.6142857142857143,0.6678571428571428,0.7089285714285715,1.0,-0.10723661365372594,20.835562229156494,200.0,0.6021,0.8333,0.5,0.6957,0.6809,1.0
dmis-lab/biobert-base-cased-v1.2,key_value,random_baseline,-0.004281567489114624,3.3189626943451414,0.45428156748911463,0.555878084179971,0.625544267053701,0.5,0.022696000397544158,22.358259439468384,200.0,0.4926,0.2465,0.5455,0.6667,0.5854,0.6667
dmis-lab/biobert-base-cased-v1.2,mixed,balanced_knowledge,-0.27440273037542656,1.872026197073455,0.7244027303754266,0.7798634812286689,0.8037542662116041,0.673469387755102,-0.014555574274198846,30.738299131393433,200.0,0.771,0.5056,1.0,0.8889,0.96,0.6667
dmis-lab/biobert-base-cased-v1.2,mixed,high_knowledge,-0.2572477498815727,1.8756735894119125,0.7072477498815727,0.7664613927048792,0.8034107058266224,0.6723549488054608,0.0029681818912453695,31.903045415878296,200.0,0.7624,0.5,1.0,0.8824,0.8812,0.0
dmis-lab/biobert-base-cased-v1.2,mixed,low_knowledge,-0.44583333333333336,1.004994026930144,0.8958333333333334,0.8958333333333334,0.9,0.0,-0.17492270938729626,15.66022276878357,200.0,0.8958,0.0,0.0,0.0,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,mixed,medium_knowledge,-0.41348501664816867,1.0524703629710144,0.8634850166481687,0.8845726970033296,0.8967813540510544,1.0,-0.16174175198889773,25.280773878097534,200.0,0.8539,0.9,1.0,0.8966,0.9394,1.0
dmis-lab/biobert-base-cased-v1.2,mixed,random_baseline,-0.36401167639699744,1.3162018747524948,0.8140116763969975,0.8473728106755629,0.8640533778148457,0.7014925373134329,-0.11116517466781417,44.83258008956909,200.0,0.8434,0.6267,1.0,0.9355,0.9213,1.0
dmis-lab/biobert-base-cased-v1.2,narrative,balanced_knowledge,0.23208955223880598,4.719004995747011,0.21791044776119403,0.3522388059701492,0.4671641791044776,0.4732142857142857,0.1100307287093942,32.39288806915283,200.0,0.2077,0.2511,0.0,0.3889,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,narrative,high_knowledge,0.21851851851851853,4.698068831704309,0.23148148148148148,0.36195286195286197,0.4764309764309764,0.4507042253521127,0.11413863994089493,27.134114503860474,200.0,0.1965,0.2937,0.0,0.625,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,narrative,low_knowledge,0.3923076923076923,6.9806732517093995,0.057692307692307696,0.11538461538461539,0.21153846153846154,0.0,0.1475024975024975,8.771286249160767,200.0,0.0577,0.0,0.0,0.0,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,narrative,medium_knowledge,0.2911764705882353,5.763507740985712,0.1588235294117647,0.2323529411764706,0.3058823529411765,0.0,0.18211023823210065,23.05278468132019,200.0,0.1743,0.0,0.0,0.25,0.0,0.0
dmis-lab/biobert-base-cased-v1.2,narrative,random_baseline,0.24362101313320828,5.2032039265862995,0.20637898686679174,0.32082551594746717,0.41088180112570355,0.4117647058823529,0.12000990202209716,32.249475717544556,200.0,0.2147,0.2028,0.0,0.5385,0.0,0.25
